SALE TYPE,SOLD DATE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,MLS#
PAST SALE,2018,3301 NE 5 Ave #705,Miami,FL,33137,182500,1,1,822,1961,272,222,Sold,A2212859
PAST SALE,2017,7899 NE Bayshore Ct Unit 4C,Miami,FL,33138,184275,2,1,907,1974,746,203,Sold,A10192809
MLS Listing,,999 Brickell Bay Dr #209,Miami,FL,33131,185000,0,1,659,1996,10,281,Active,A10611549
MLS Listing,,318 Majorca Ave #205,Coral Gables,FL,33134,185000,1,1,656,1964,1,282,Active,A10617145
MLS Listing,,210 Mendoza Ave #4,Coral Gables,FL,33134,185000,1,1,600,1955,18,308,Active,A10606917
PAST SALE,2017,901 Euclid Ave #8,Miami Beach,FL,33139,185000,1,1,420,1936,648,440,Sold,A10085554
PAST SALE,2017,1025 SW 7th Ave #10,Miami,FL,33130,185000,2,1,920,1947,605,201,Sold,A10197502
PAST SALE,2017,945 Meridian Ave #7,Miami Beach,FL,33139,188000,1,1,700,1960,551,269,Sold,A10243351
MLS Listing,,1045 Lenox Ave #5,Miami Beach,FL,33139,189000,1,1,595,1949,11,318,Active,A10610418
PAST SALE,2017,7928 West Dr #510,North Bay Village,FL,33141,189000,1,1,760,1969,438,249,Sold,A10281901
MLS Listing,,3301 NE 5th Ave #617,Miami,FL,33137,189500,1,1,822,1961,12,231,Active,A10610109
MLS Listing,,1619 Jefferson Ave #3,Miami Beach,FL,33139,189500,1,1,599,1926,8,316,Active,H10612043
MLS Listing,,9120 NE 8th Ave Unit 4G,Miami Shores,FL,33138,189500,2,1,754,1949,12,251,Active,A10610156
PAST SALE,2017,280 SW 20th Rd #907,Miami,FL,33129,190000,1,2,1047,2005,654,181,Sold,A10256086
PAST SALE,2017,3301 NE 5th Ave #713,Miami,FL,33137,190000,1,1,822,1961,665,231,Sold,A10216352
MLS Listing,,740 Meridian Ave #24,Miami Beach,FL,33139,190000,1,1,429,2016,9,443,Active,A10611657
PAST SALE,2017,932 Euclid Ave #1,Miami Beach,FL,33139,190000,1,1,600,1966,571,317,Sold,A10243498
PAST SALE,2017,439 15th St #9,Miami Beach,FL,33139,190000,1,1,446,1935,714,426,Sold,A10153077
PAST SALE,2018,1337 Euclid Ave #104,Miami Beach,FL,33139,190000,1,1,530,1926,251,358,Sold,A10387247
PAST SALE,2017,721 14th Pl #19,Miami Beach,FL,33139,193000,1,1,400,1936,613,483,Sold,A10188482
PAST SALE,2017,,Miami,FL,33129,194000,1,1,713,1969,454,272,Sold,A10341227
PAST SALE,2016,1561 Lenox Ave #11,Miami Beach,FL,33139,195000,1,1,554,1940,1090,352,Sold,A10011133
PAST SALE,2016,1255 Pennsylvania Ave #108,Miami Beach,FL,33139,195000,2,1,680,1925,905,287,Sold,A10105074
PAST SALE,2018,1865 79th St Cswy Unit 14A,North Bay Village,FL,33141,196000,1,1,940,1952,196,209,Sold,A10489605
MLS Listing,,7501 E Treasure Dr Unit 4S,North Bay Village,FL,33141,198500,1,1,825,1965,8,241,Active,A10612049
MLS Listing,,1335 15th St #7,Miami Beach,FL,33139,199000,0,1,472,1957,7,422,Active,A10607092
MLS Listing,,6345 Collins Ave #615,Miami Beach,FL,33141,199000,1,1,345,1948,7,577,Active,A10610665
PAST SALE,2017,1400 Lincoln Rd #206,Miami Beach,FL,33139,199000,1,1,796,1965,438,250,Sold,A10364510
MLS Listing,,1990 Marseille Dr #202,Miami Beach,FL,33141,199900,2,2,798,1970,1,251,Active,A10612995
MLS Listing,,1750 N Bayshore Dr #1215,Miami,FL,33132,200000,0,1,402,2007,19,498,Active,A10606251
MLS Listing,,1526 Pennsylvania Ave #17,Miami Beach,FL,33139,200000,1,1,446,1938,12,448,Active,A10609946
PAST SALE,2017,1881 Washington Ave Unit 3G,Miami Beach,FL,33139,200000,1,1,510,1966,627,392,Sold,A10245837
PAST SALE,2016,1918 Brickell Ave #301,Miami,FL,33129,203000,1,1,580,1999,1026,350,Sold,A10033685
PAST SALE,2016,234 NE 3rd St #905,Miami,FL,33132,204500,1,1,685,2005,1027,299,Sold,A10026549
MLS Listing,,234 NE 3rd St #2108,Miami,FL,33132,204999,1,1,712,2005,19,288,Active,A10606554
MLS Listing,,2715 Tigertail Ave #101,Miami,FL,33133,205000,1,1,591,1974,7,347,Active,A10613482
PAST SALE,2016,133 NE 2nd Ave #2217,Miami,FL,33132,205000,1,1,651,2007,987,315,Sold,A10013566
PAST SALE,2017,1340 Lincoln Rd #807,Miami Beach,FL,33139,205000,1,1.5,768,1969,432,267,Sold,A10236546
PAST SALE,2016,1611 Euclid Ave #17,Miami Beach,FL,33139,205000,1,1,590,1947,837,347,Sold,A10109344
PAST SALE,2018,1600 Pennsylvania Ave #6,Miami,FL,33139,205000,0,1,439,1953,309,467,Sold,A10408076
PAST SALE,2018,1345 Lincoln Rd #1206,Miami Beach,FL,33139,206000,1,1.5,718,1972,376,287,Sold,A10397837
PAST SALE,2016,1614 West Ave #504,Miami Beach,FL,33139,206435,1,1,667,1965,1016,309,Sold,A10015819
MLS Listing,,2444 Flamingo Pl Unit 2d,Miami Beach,FL,33140,207995,1,1,726,1935,5,286,Active,RX-10502195
MLS Listing,,,Miami,FL,33138,209000,1,1,649,1958,17,322,Active,A10607341
